instrument_name,instrument_key,resampled_price_type,datetime,open,high,low,close,volume,open_interest,RSI
PLAZA WIRES LIMITED,NSE_EQ|INE0INJ01017,Monthly,2025-09-01,55.37,58.8,54.51,56.32,477195.0,0.0,25.753871230643867
KAMAT HOTELS (I) LTD,NSE_EQ|INE967C01018,Monthly,2025-09-01,290.5,329.25,290.45,322.45,2591541.0,0.0,67.53832927353488
ADANI POWER LTD,NSE_EQ|INE814H01011,Monthly,2025-09-01,605.9,666.8,600.0,631.35,130576643.0,0.0,38.69765402324052
DHUNSERI INVESTMENTS LTD,NSE_EQ|INE320L01011,Monthly,2025-09-01,1412.9,1468.4,1386.0,1420.3,9790.0,0.0,47.87586553623254
GUJ IND POW CO. LTD,NSE_EQ|INE162A01010,Monthly,2025-09-01,181.99,202.05,180.99,190.22,6369262.0,0.0,38.95519218517732
ENTERTAIN NET. IND. LTD.,NSE_EQ|INE265F01028,Monthly,2025-09-01,161.71,166.79,156.59,164.76,349715.0,0.0,28.82165605095541
KRONOX LAB SCIENCES LTD,NSE_EQ|INE0ATZ01017,Monthly,2025-09-01,162.9,180.5,161.5,167.08,1077490.0,0.0,52.17618875065426
STAR HEALTH & AL INS CO L,NSE_EQ|INE575P01011,Monthly,2025-09-01,448.55,494.0,436.8,448.7,24125752.0,0.0,34.474255277174976
HINDUSTAN ZINC LIMITED,NSE_EQ|INE267A01025,Monthly,2025-09-01,424.0,468.95,424.0,459.25,64274481.0,0.0,33.39823008849558
BORANA WEAVES LIMITED,NSE_EQ|INE16SF01016,Monthly,2025-09-01,215.0,224.0,211.0,217.9,1207348.0,0.0,
SINDHU TRADE LINKS LTD,NSE_EQ|INE325D01025,Monthly,2025-09-01,23.38,32.74,23.28,29.54,121051795.0,0.0,63.881334981458586
VESUVIUS INDIA LTD,NSE_EQ|INE386A01023,Monthly,2025-09-01,503.95,545.0,496.3,511.2,2409499.0,0.0,49.42334460131239
DRC SYSTEMS INDIA LIMITED,NSE_EQ|INE03RS01027,Monthly,2025-09-01,19.0,23.68,18.5,20.11,2877362.0,0.0,43.43269678621332
VISHNU CHEMICALS LIMITED,NSE_EQ|INE270I01022,Monthly,2025-09-01,496.95,517.4,471.55,502.6,1692457.0,0.0,52.9485478401887
SAGAR CEMENTS LIMITED,NSE_EQ|INE229C01021,Monthly,2025-09-01,254.9,299.4,249.15,274.85,5827333.0,0.0,57.45874770820601
MOTILALAMC - MOPSE,NSE_EQ|INF247L01FO5,Monthly,2025-09-01,93.12,99.85,93.12,98.81,19880.0,0.0,
SUNDARAM BRAK LININGS LTD,NSE_EQ|INE073D01013,Monthly,2025-09-01,797.9,797.9,755.1,777.95,42293.0,0.0,49.25344239285628
STOVE KRAFT LIMITED,NSE_EQ|INE00IN01015,Monthly,2025-09-01,641.9,721.3,625.05,713.6,2046591.0,0.0,54.90846912090122
NAGA DHUNSERI GROUP LTD,NSE_EQ|INE756C01015,Monthly,2025-09-01,3921.2,4085.0,3750.0,3789.5,4122.0,0.0,55.49297799932896
SHAH METACORP LIMITED,NSE_EQ|INE482J01021,Monthly,2025-09-01,3.33,3.91,3.3,3.75,6043066.0,0.0,40.296296296296305
